Ticker,Name,Sector,Industry,Price,MarketCap,ROE,DER,DivYield,PE_Ratio,PBV,Beta,Past24H
CSAP.JK,Catur Sentosa Adiprana,Industrials,Industrial Distribution,266.0,1511724548096,0.03777,117.873,2.43,11.801242,0.42421877,0.024,-0.75
MPPA.JK,Matahari Putra Prima,Consumer Cyclical,Department Stores,49.0,635365359616,-1.9903901,0.0,0.0,0.0,-152.64796,0.98,8.89
HERO.JK,Hero Supermarket,Consumer Cyclical,Department Stores,400.0,1673453633536,0.04856,72.62,0.0,22.222221,0.9585339,0.417,0.0
KOIN.JK,Kokoh Inti Arebama,Industrials,Building Products & Equipment,78.0,76505808896,0.0,0.0,0.0,0.0,-0.81619835,0.0,-1.27
SONA.JK,Sona Topas Tourism Industry,Consumer Cyclical,Travel Services,2220.0,1470527963136,0.12465,17.278,0.0,17.142857,2.0148335,1.221,-1.77
RANC.JK,Supra Boga Lestari,Consumer Defensive,Grocery Stores,525.0,821355937792,-0.14097999,154.847,0.0,0.0,3.1188552,1.107,1.94
TKMP.JK,Tigaraksa Satria,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASII.JK,Astra International,Industrials,Conglomerates,5600.0,224357364269056,0.13245,39.859,7.22,7.1323047,0.96387935,0.064,3.7
AUTO.JK,Astra Otoparts,Consumer Cyclical,Auto Parts,2530.0,12193924907008,0.14193,3.318,8.95,5.4063296,0.7524058,0.096,-1.17
GJTL.JK,Gajah Tunggal,Consumer Cyclical,Auto Parts,1200.0,4181350154240,0.12292,48.59,4.22,3.2889328,0.3998226,0.443,1.27
SMSM.JK,Selamat Sempurna,Consumer Cyclical,Auto Parts,1750.0,10077682532352,0.27407,3.671,8.28,9.115533,2.6461868,0.0,3.55
IMAS.JK,Indomobil Sukses Internasional,Consumer Cyclical,Auto & Truck Dealerships,945.0,3774604902400,0.01207,327.478,0.44,29.338715,0.27495566,0.0,3.85
INDS.JK,Indospring,Consumer Cyclical,Auto Parts,300.0,1968749150208,0.0214,8.32,2.6,35.67182,0.5806661,2.203,-2.6
MASA.JK,Multistrada Arah Sarana,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAM.JK,Indo Kordsa,Consumer Cyclical,Textile Manufacturing,4560.0,2052259840000,0.00912,1.095,0.0,134.31517,9460.581,-0.011,-1.94
SMGR.JK,Semen Indonesia,Basic Materials,Building Materials,1760.0,11854558527488,0.00438,21.137,1.61,51.673515,0.27222273,0.246,-0.28
INTP.JK,Indocement Tunggal Prakarsa,Basic Materials,Building Materials,4900.0,16090248773632,0.09884,12.119,5.29,7.23589,0.69142926,0.387,0.0
SMBR.JK,Semen Baturaja,Basic Materials,Building Materials,171.0,1698463481856,0.04158,15.206,2.1,12.223017,0.49769345,0.534,3.64
WCID.JK,Wahana Cahaya Indonesia,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARNA.JK,Arwana Citramulia,Industrials,Building Products & Equipment,454.0,3191609491456,0.19254999,2.255,9.96,8.577366,1.6126052,0.126,0.44
TOTO.JK,Surya Toto Indonesia,Industrials,Building Products & Equipment,254.0,2621280092160,0.1224,7.81,9.02,7.472786,1.0237148,0.037,4.1
MARK.JK,Mark Dynamics Indonesia,Healthcare,Medical Instruments & Supplies,820.0,3116000083968,0.31034002,0.628,19.75,10.479233,3.172012,0.312,1.23
CRBK.JK,Cipta Rasa Budimakmur Kencana,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPIA.JK,Chandra Asri Pacific,Basic Materials,Specialty Chemicals,1765.0,152658857951232,0.42368,117.023,0.3,4.719251,41046.51,0.283,-11.75
BRPT.JK,Barito Pacific,Basic Materials,Chemicals,1480.0,138693385912320,0.34817,133.907,0.0,13.784111,61666.668,0.792,-7.79
BUDI.JK,Budi Starch and Sweetener,Consumer Defensive,Packaged Foods,208.0,934185598976,0.07752,111.951,4.37,7.6442485,0.5918911,0.09,0.97
EKAD.JK,Ekadharma International,Basic Materials,Specialty Chemicals,169.0,590464876544,0.04019,1.741,5.26,1.1553739,0.478412,0.021,-1.17
SRSN.JK,Indo Acidatama,Basic Materials,Chemicals,65.0,391299989504,0.09991,13.575,1.43,4.054897,0.48319596,-0.004,0.0
INCI.JK,Intanwijaya Internasional,Basic Materials,Specialty Chemicals,690.0,143283077120,0.057540003,0.412,5.07,8.198571,0.2939198,0.0,0.0
DPNS.JK,Duta Pertiwi Nusantara,Basic Materials,Specialty Chemicals,310.0,102650281984,0.02467,0.0,1.61,4.298511,0.30319598,-0.041,0.0
AGII.JK,Aneka Gas Industri,Basic Materials,Chemicals,2860.0,8770647752704,0.0234,102.55,0.31,105.73013,2.3134444,0.0,3.62
ISSP.JK,Steel Technologies Indonesia,Basic Materials,Steel,424.0,2989826768896,0.09684,41.186,3.9,5.679078,0.5199296,0.299,3.41
LION.JK,Lion Metal Works,Industrials,Business Equipment & Supplies,392.0,203902713856,-0.048639998,5.602,1.32,0.0,0.4443855,0.0,3.16
LMSH.JK,Lionmesh Prima,Industrials,Metal Fabrication,256.0,24576000000,-0.051030003,0.0,0.0,12.194541,0.26804346,0.0,0.0
KBLI.JK,KMI Wire and Cable,Industrials,Electrical Equipment & Parts,320.0,1282315255808,0.068670005,3.829,5.28,6.52928,0.45575866,0.098,-0.62
SCCO.JK,Supreme Cable Manufacturing,Industrials,Electrical Equipment & Parts,2400.0,1973600518144,0.056009997,0.0,4.24,6.3008666,0.35160115,0.158,1.69
VOKS.JK,Voksel Electric,Industrials,Electrical Equipment & Parts,210.0,872676589568,-0.097729996,147.338,0.0,0.0,1.5091085,0.0,-0.94
JECC.JK,Jembo Cable Company,Industrials,Electrical Equipment & Parts,615.0,464940007424,0.13202,122.513,1.06,6.9783278,0.50695807,0.373,-9.56
ALKA.JK,Alakasa Industrindo,Basic Materials,Aluminum,494.0,181554774016,0.07557,0.002,0.0,13.029832,1.073416,0.0,8.33
PTSN.JK,Sat Nusapersada,Technology,Electronic Components,270.0,1434872840192,0.12694,21.293,1.93,5.17638,11250.0,0.478,0.0
NIKL.JK,Pelat Timah Nusantara,Industrials,Metal Fabrication,268.0,676257792000,0.030469999,75.619,0.79,23.529411,12181.818,0.769,6.35
MNCN.JK,Media Nusantara Citra,Communication Services,Advertising Agencies,208.0,2751249514496,0.05941,5.688,0.0,2.1686997,0.12598853,0.301,0.97
SCMA.JK,Surya Citra Media,Communication Services,Broadcasting,230.0,14606081720320,0.113970004,0.234,12.27,15.796702,2.2349625,0.113,4.55
EMTK.JK,Elang Mahkota Teknologi,Communication Services,Broadcasting,650.0,39768628920320,0.09003,4.509,5.76,14.090613,1.0779811,0.406,-1.52
NETV.JK,Net Visi Media,Communication Services,Broadcasting,72.0,2977957412864,-0.52516,108.152,0.0,0.0,7.0747766,0.748,5.88
MSIN.JK,MNC Studios International,Communication Services,Entertainment,494.0,29974031499264,0.15087,3.818,0.0,29.04174,4.4389334,0.603,-8.52
KOPI.JK,Fanindo Cipta Propertindo,Energy,Oil & Gas Refining & Marketing,187.0,130388869120,0.01592,174.594,0.0,78.47252,1.8756646,0.524,-10.95
DMMX.JK,Digital Mediatama Maxima,Communication Services,Advertising Agencies,178.0,1292179472384,0.08959,0.723,0.0,21.497585,1.8845551,0.047,1.71
MCAS.JK,M Cash Integrasi,Industrials,Business Equipment & Supplies,264.0,228886740992,-0.05802,39.872,0.0,0.0,1.4586521,-0.284,0.76
EDGE.JK,Indointernet,Technology,Information Technology Services,4790.0,9676997525504,0.06639,217.52,0.0,81.29668,5.206731,0.446,0.0
MTDL.JK,Metrodata Electronics,Technology,Electronics & Computer Distribution,530.0,6506748575744,0.18726,33.353,4.4,8.030303,1.3357562,0.136,-2.75
BFIN.JK,BFI Finance Indonesia,Financial Services,Credit Services,720.0,10619556200448,0.14156,119.872,9.79,7.1978407,0.96959245,0.566,0.7
ADMF.JK,Adira Dinamika Multi Finance,Financial Services,Credit Services,8450.0,10359590092800,0.12307999,133.121,7.52,6.3376584,0.6648311,0.284,0.9
CFIN.JK,Clipan Finance Indonesia,Financial Services,Credit Services,340.0,1354736992256,0.04062,59.748,14.88,5.726798,0.23176347,0.166,1.19
HDFA.JK,Radana Bhaskara Finance,Financial Services,Credit Services,93.0,608447430656,-0.15611,528.808,0.0,0.0,1.2547898,0.0,3.33
BBLD.JK,Buana Finance,Financial Services,Credit Services,620.0,1020393553920,0.00379,400.283,1.94,111.111115,0.72280616,0.038,0.0
MFIN.JK,Mandala Multifinance,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNLF.JK,Panin Financial,Financial Services,Banks - Regional,240.0,7685297668096,0.057800002,0.0,0.0,3.6308625,0.24376124,-0.526,1.69
WOMF.JK,Wahana Ottomitra Multiartha,Financial Services,Credit Services,288.0,1002666655744,0.07357,254.932,4.26,7.032967,0.5055869,0.288,0.0
BIRD.JK,Blue Bird,Industrials,Railroads,1555.0,3890765365248,0.10444,35.953,7.29,6.2195024,0.6266942,0.228,0.32
ASSA.JK,Adi Sarana Armada,Industrials,Rental & Leasing Services,670.0,2473062039552,0.18826,128.721,7.46,5.9666934,1.080227,0.431,0.0
SMDR.JK,Samudera Indonesia,Industrials,Marine Shipping,306.0,5010933415936,0.09154,65.778,3.76,5.7271194,9272.728,0.0,0.0
HITS.JK,Humpuss Intermoda Transportasi,Industrials,Marine Shipping,116.0,823725850624,0.00090000004,91.076,0.0,24.21712,12888.89,0.124,0.0
TMAS.JK,Temas,Industrials,Marine Shipping,118.0,6710525165568,0.18056,55.75,3.17,11.811812,2.2283492,-0.122,0.0
